"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Austria","AUT","'0-4",0,4,2019-01-01,224072,211061,435133
"Europe","Austria","AUT","'5-14",5,14,2019-01-01,433500,410059,843559
"Europe","Austria","AUT","'15-24",15,24,2019-01-01,500178,469589,969767
"Europe","Austria","AUT","'25-34",25,34,2019-01-01,615441,591433,1206874
"Europe","Austria","AUT","'35-44",35,44,2019-01-01,585813,580801,1166614
"Europe","Austria","AUT","'45-54",45,54,2019-01-01,678689,679454,1358143
"Europe","Austria","AUT","'55-64",55,64,2019-01-01,596511,613615,1210126
"Europe","Austria","AUT","'65-74",65,74,2019-01-01,388398,445072,833470
"Europe","Austria","AUT","'75-84",75,84,2019-01-01,261249,347902,609151
"Europe","Austria","AUT","'85+",85,NA,2019-01-01,73182,152756,225938
"Europe","Austria","AUT","'Total",NA,NA,2019-01-01,4357033,4501742,8858775
"Europe","Austria","AUT","'0-4",0,4,2020-01-01,224096,211739,435835
"Europe","Austria","AUT","'5-14",5,14,2020-01-01,435590,411635,847225
"Europe","Austria","AUT","'15-24",15,24,2020-01-01,491758,463867,955625
"Europe","Austria","AUT","'25-34",25,34,2020-01-01,617223,591807,1209030
"Europe","Austria","AUT","'35-44",35,44,2020-01-01,590628,584117,1174745
"Europe","Austria","AUT","'45-54",45,54,2020-01-01,665454,668403,1333857
"Europe","Austria","AUT","'55-64",55,64,2020-01-01,618087,633033,1251120
"Europe","Austria","AUT","'65-74",65,74,2020-01-01,393151,448884,842035
"Europe","Austria","AUT","'75-84",75,84,2020-01-01,268460,356807,625267
"Europe","Austria","AUT","'85+",85,NA,2020-01-01,74325,152000,226325
"Europe","Austria","AUT","'Total",NA,NA,2020-01-01,4378772,4522292,8901064
"Europe","Austria","AUT","'0-4",0,4,2021-01-01,222842,210913,433755
"Europe","Austria","AUT","'5-14",5,14,2021-01-01,438193,413540,851733
"Europe","Austria","AUT","'15-24",15,24,2021-01-01,484733,457249,941982
"Europe","Austria","AUT","'25-34",25,34,2021-01-01,617820,591141,1208961
"Europe","Austria","AUT","'35-44",35,44,2021-01-01,597136,587985,1185121
"Europe","Austria","AUT","'45-54",45,54,2021-01-01,651968,656944,1308912
"Europe","Austria","AUT","'55-64",55,64,2021-01-01,636614,649299,1285913
"Europe","Austria","AUT","'65-74",65,74,2021-01-01,407643,464528,872171
"Europe","Austria","AUT","'75-84",75,84,2021-01-01,265675,354581,620256
"Europe","Austria","AUT","'85+",85,NA,2021-01-01,74328,149532,223860
"Europe","Austria","AUT","'Total",NA,NA,2021-01-01,4396952,4535712,8932664
"Europe","Austria","AUT","'0-4",0,4,2022-01-01,221746,210039,431785
"Europe","Austria","AUT","'5-14",5,14,2022-01-01,442632,417172,859804
"Europe","Austria","AUT","'15-24",15,24,2022-01-01,483264,453512,936776
"Europe","Austria","AUT","'25-34",25,34,2022-01-01,622667,590533,1213200
"Europe","Austria","AUT","'35-44",35,44,2022-01-01,605901,594230,1200131
"Europe","Austria","AUT","'45-54",45,54,2022-01-01,636320,642915,1279235
"Europe","Austria","AUT","'55-64",55,64,2022-01-01,650862,661446,1312308
"Europe","Austria","AUT","'65-74",65,74,2022-01-01,418638,477380,896018
"Europe","Austria","AUT","'75-84",75,84,2022-01-01,268290,358054,626344
"Europe","Austria","AUT","'85+",85,NA,2022-01-01,75165,148163,223328
"Europe","Austria","AUT","'Total",NA,NA,2022-01-01,4425485,4553444,8978929
"Europe","Belgium","BEL","'0-24",0,24,2020-01-01,1653075,1584423,3237498
"Europe","Belgium","BEL","'25-44",25,44,2020-01-01,1486998,1481633,2968631
"Europe","Belgium","BEL","'45-64",45,64,2020-01-01,1546411,1535623,3082034
"Europe","Belgium","BEL","'65-74",65,74,2020-01-01,560071,610328,1170399
"Europe","Belgium","BEL","'75-84",75,84,2020-01-01,301971,396969,698940
"Europe","Belgium","BEL","'85+",85,NA,2020-01-01,111538,223601,335139
"Europe","Belgium","BEL","'Total",NA,NA,2020-01-01,5660064,5832577,11492641
"Europe","Belgium","BEL","'0-24",0,24,2021-01-01,1652210,1582715,3234925
"Europe","Belgium","BEL","'25-44",25,44,2021-01-01,1492247,1487749,2979996
"Europe","Belgium","BEL","'45-64",45,64,2021-01-01,1545221,1531975,3077196
"Europe","Belgium","BEL","'65-74",65,74,2021-01-01,571453,622638,1194091
"Europe","Belgium","BEL","'75-84",75,84,2021-01-01,304861,398246,703107
"Europe","Belgium","BEL","'85+",85,NA,2021-01-01,111219,220704,331923
"Europe","Belgium","BEL","'Total",NA,NA,2021-01-01,5677211,5844027,11521238
"Europe","Belgium","BEL","'0-24",0,24,2022-01-01,1657979,1588012,3245991
"Europe","Belgium","BEL","'25-44",25,44,2022-01-01,1498981,1495556,2994537
"Europe","Belgium","BEL","'45-64",45,64,2022-01-01,1544339,1529825,3074164
"Europe","Belgium","BEL","'65-74",65,74,2022-01-01,576438,627824,1204262
"Europe","Belgium","BEL","'75-84",75,84,2022-01-01,316841,409306,726147
"Europe","Belgium","BEL","'85+",85,NA,2022-01-01,114324,224583,338907
"Europe","Belgium","BEL","'Total",NA,NA,2022-01-01,5708902,5875106,11584008
"Americas","Canada","CAN","'0-19",0,19,2020-07-01,4160129,3979029,8139158
"Americas","Canada","CAN","'20-29",20,29,2020-07-01,2659126,2465183,5124309
"Americas","Canada","CAN","'30-39",30,39,2020-07-01,2666426,2623649,5290075
"Americas","Canada","CAN","'40-49",40,49,2020-07-01,2404618,2448771,4853389
"Americas","Canada","CAN","'50-59",50,59,2020-07-01,2583100,2612520,5195620
"Americas","Canada","CAN","'60-69",60,69,2020-07-01,2310603,2416827,4727430
"Americas","Canada","CAN","'70-79",70,79,2020-07-01,1425541,1581926,3007467
"Americas","Canada","CAN","'80+",80,NA,2020-07-01,676233,993485,1669718
"Americas","Canada","CAN","'Total",NA,NA,2020-07-01,18885776,19121390,38007166
"Americas","Canada","CAN","'0-19",0,19,2021-07-01,4128697,3950100,8078797
"Americas","Canada","CAN","'20-29",20,29,2021-07-01,2643517,2442804,5086321
"Americas","Canada","CAN","'30-39",30,39,2021-07-01,2707173,2649307,5356480
"Americas","Canada","CAN","'40-49",40,49,2021-07-01,2423245,2466290,4889535
"Americas","Canada","CAN","'50-59",50,59,2021-07-01,2547836,2579994,5127830
"Americas","Canada","CAN","'60-69",60,69,2021-07-01,2364707,2473949,4838656
"Americas","Canada","CAN","'70-79",70,79,2021-07-01,1486019,1648208,3134227
"Americas","Canada","CAN","'80+",80,NA,2021-07-01,698190,1016462,1714652
"Americas","Canada","CAN","'Total",NA,NA,2021-07-01,18999384,19227114,38226498
"Americas","Canada","CAN","'0-19",0,19,2022-07-01,4189069,4006722,8195791
"Americas","Canada","CAN","'20-29",20,29,2022-07-01,2717085,2506981,5224066
"Americas","Canada","CAN","'30-39",30,39,2022-07-01,2787712,2714268,5501980
